bench,mode,status,reductions,cata,ana,para,hylo,lines,result
MergeSortMorph,mmorph,RAN,49023,0,0,0,0,616,-26356897
MergeSortMorphM,plain,RAN,45699,0,0,0,0,566,-26356897
MergeSortMorphM,morph,RAN,45955,1,0,0,0,567,-26356897
MergeSortMorphM,mmorph,RAN,45699,0,0,0,0,565,-26356897
MergeSortMorphX,plain,RAN,48251,0,0,0,0,594,-26356897
MergeSortMorphX,morph,RAN,48507,1,0,0,0,595,-26356897
MergeSortMorphX,mmorph,RAN,48251,0,0,0,0,593,-26356897
MergeSortMorphXFix,plain,RAN,48244,0,0,0,0,617,-26356897
MergeSortMorphXFix,morph,RAN,48520,1,0,1,0,623,-26356897
MergeSortMorphXFix,mmorph,RAN,48244,0,0,0,0,616,-26356897
MergeSortPure,plain,RAN,44939,0,0,0,0,561,-26356897
MergeSortPure,morph,RAN,45195,1,0,0,0,562,-26356897
MergeSortPure,mmorph,RAN,44939,0,0,0,0,560,-26356897
PatriciaMorph,plain,RAN,19535,0,0,0,0,1070,889214830
PatriciaMorph,morph,RAN,19683,1,0,0,0,1070,889214830
PatriciaMorph,mmorph,RAN,19535,0,0,0,0,1070,889214830
PatriciaMorphM,plain,RAN,15730,0,0,0,0,1053,889214830
PatriciaMorphM,morph,RAN,15730,0,0,0,0,1053,889214830
PatriciaMorphM,mmorph,RAN,15730,0,0,0,0,1053,889214830
PatriciaMorphX,plain,RAN,19837,0,0,0,0,1092,889214830
PatriciaMorphX,morph,RAN,19837,0,0,0,0,1092,889214830
PatriciaMorphX,mmorph,RAN,19837,0,0,0,0,1092,889214830
PatriciaMorphXFix,plain,RAN,22841,0,0,0,0,1211,889214830
PatriciaMorphXFix,morph,RAN,24442,0,0,1,0,1216,889214830
PatriciaMorphXFix,mmorph,RAN,22841,0,0,0,0,1211,889214830
PatriciaPure,plain,RAN,15923,0,0,0,0,1068,889214830
PatriciaPure,morph,RAN,15923,0,0,0,0,1068,889214830
PatriciaPure,mmorph,RAN,15923,0,0,0,0,1068,889214830
QuadTree2Morph,plain,RAN,69695,0,0,0,0,1399,1255315216
QuadTree2Morph,morph,RAN,72683,1,0,0,0,1399,1255315216
QuadTree2Morph,mmorph,RAN,69695,0,0,0,0,1399,1255315216
QuadTree2Pure,plain,RAN,57287,0,0,0,0,1432,1255315216
QuadTree2Pure,morph,RAN,57287,0,0,0,0,1432,1255315216
QuadTree2Pure,mmorph,RAN,57287,0,0,0,0,1432,1255315216
QuadTreeMorph,plain,RAN,90204,0,0,0,0,1285,1255315216
QuadTreeMorph,morph,RAN,93192,1,0,0,0,1285,1255315216
QuadTreeMorph,mmorph,RAN,90204,0,0,0,0,1285,1255315216
